Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Curly Armstrong,G-F,31,FTW,63, , ,2.3,8.2,.279, , , ,2.3,8.2,.279,.279,2.7,3.8,.705, , , ,2.8, , , ,3.4,7.3
Cliff Barker,SG,29,INO,49, , ,2.1,5.6,.372, , , ,2.1,5.6,.372,.372,1.5,2.2,.708, , , ,2.2, , , ,2.0,5.7
Leo Barnhorst,SF,25,CHS,67, , ,2.6,7.4,.349, , , ,2.6,7.4,.349,.349,1.3,1.9,.698, , , ,2.1, , , ,2.9,6.5
Ed Bartels,F,24,TOT,15, , ,1.5,5.7,.256, , , ,1.5,5.7,.256,.256,1.3,2.3,.559, , , ,1.3, , , ,1.9,4.2
Ed Bartels,F,24,DNN,13, , ,1.6,6.3,.256, , , ,1.6,6.3,.256,.256,1.3,2.4,.548, , , ,1.5, , , ,2.1,4.5
Ed Bartels,F,24,NYK,2, , ,0.5,2.0,.250, , , ,0.5,2.0,.250,.250,1.0,1.5,.667, , , ,0.0, , , ,1.0,2.0
Ralph Beard,G,22,INO,60, , ,5.7,15.6,.363, , , ,5.7,15.6,.363,.363,3.6,4.7,.762, , , ,3.9, , , ,2.2,14.9
Gene Berce,G-F,23,TRI,3, , ,1.7,5.3,.313, , , ,1.7,5.3,.313,.313,0.0,1.7,.000, , , ,0.7, , , ,2.0,3.3
Charlie Black,F-C,28,TOT,65, , ,3.5,12.5,.278, , , ,3.5,12.5,.278,.278,3.2,4.9,.651, , , ,2.5, , , ,4.2,10.2
Charlie Black,F-C,28,FTW,36, , ,3.5,12.1,.287, , , ,3.5,12.1,.287,.287,3.7,5.8,.632, , , ,2.1, , , ,3.9,10.6
Charlie Black,F-C,28,AND,29, , ,3.5,13.0,.267, , , ,3.5,13.0,.267,.267,2.7,3.9,.688, , , ,3.0, , , ,4.6,9.6
Nelson Bobb,PG,25,PHW,57, , ,1.4,4.4,.323, , , ,1.4,4.4,.323,.323,1.4,2.3,.626, , , ,0.8, , , ,1.7,4.2
Jake Bornheimer,F-C,22,PHW,60, , ,1.5,5.1,.289, , , ,1.5,5.1,.289,.289,1.3,2.0,.667, , , ,0.7, , , ,1.9,4.2
Vince Boryla,SF,22,NYK,59, , ,3.5,10.2,.340, , , ,3.5,10.2,.340,.340,3.5,4.5,.764, , , ,1.6, , , ,3.4,10.4
Don Boven,F-G,24,WAT,62, , ,3.4,9.0,.373, , , ,3.4,9.0,.373,.373,3.9,5.6,.688, , , ,2.2, , , ,4.1,10.6
Harry Boykoff,C,27,WAT,61, , ,4.7,11.4,.413, , , ,4.7,11.4,.413,.413,3.3,4.3,.775, , , ,2.4, , , ,3.8,12.8
Joe Bradley,G,21,CHS,46, , ,0.8,2.9,.269, , , ,0.8,2.9,.269,.269,0.3,0.8,.395, , , ,0.8, , , ,1.1,1.9
Bob Brannum,PF,24,SHE,59, , ,4.0,12.2,.326, , , ,4.0,12.2,.326,.326,4.2,6.0,.690, , , ,3.5, , , ,4.7,12.1
Carl Braun,G-F,22,NYK,67, , ,5.6,15.3,.364, , , ,5.6,15.3,.364,.364,4.3,5.6,.762, , , ,3.7, , , ,2.8,15.4
Frankie Brian,G,26,AND,64, , ,5.8,18.1,.318, , , ,5.8,18.1,.318,.318,6.3,7.6,.824, , , ,3.0, , , ,3.0,17.8
Price Brookfield,F-G,29,ROC,7, , ,1.6,3.3,.478, , , ,1.6,3.3,.478,.478,1.7,1.9,.923, , , ,0.1, , , ,1.0,4.9
Bob Brown,F,26,DNN,62, , ,4.5,12.3,.361, , , ,4.5,12.3,.361,.361,2.8,4.1,.683, , , ,1.6, , , ,4.3,11.7
Jim Browne,C,20,DNN,31, , ,0.5,1.5,.354, , , ,0.5,1.5,.354,.354,0.4,0.9,.481, , , ,0.3, , , ,0.5,1.5
Walt Budko,PF,24,BLB,66, , ,3.0,9.9,.304, , , ,3.0,9.9,.304,.304,3.0,4.0,.757, , , ,2.2, , , ,3.9,9.0
Jack Burmaster,G,23,SHE,61, , ,3.9,11.7,.333, , , ,3.9,11.7,.333,.333,2.0,3.0,.681, , , ,2.9, , , ,3.9,9.8
Tommy Byrnes,F-G,26,BLB,53, , ,2.3,7.5,.302, , , ,2.3,7.5,.302,.302,1.6,2.3,.702, , , ,1.7, , , ,1.4,6.2
Bill Calhoun,SG,22,ROC,62, , ,3.3,8.9,.377, , , ,3.3,8.9,.377,.377,2.4,3.3,.719, , , ,1.9, , , ,1.6,9.0
Don Carlson,G-F,30,MNL,57, , ,1.7,5.1,.341, , , ,1.7,5.1,.341,.341,1.2,1.7,.726, , , ,1.3, , , ,2.2,4.7
Bob Carpenter,F-C,32,FTW,66, , ,3.2,9.3,.344, , , ,3.2,9.3,.344,.344,2.9,3.9,.742, , , ,1.4, , , ,2.5,9.3
Jake Carter,F-C,25,TOT,24, , ,1.0,3.1,.307, , , ,1.0,3.1,.307,.307,1.5,2.2,.679, , , ,1.0, , , ,2.5,3.4
Jake Carter,F-C,25,DNN,13, , ,1.0,3.5,.289, , , ,1.0,3.5,.289,.289,1.4,2.0,.692, , , ,1.2, , , ,2.1,3.4
Jake Carter,F-C,25,AND,11, , ,0.9,2.7,.333, , , ,0.9,2.7,.333,.333,1.6,2.5,.667, , , ,0.7, , , ,2.9,3.5
Al Cervi*,PG,32,SYR,56, , ,2.6,7.7,.332, , , ,2.6,7.7,.332,.332,5.1,6.2,.829, , , ,4.7, , , ,4.0,10.2
John Chaney,F-C,29,TOT,16, , ,1.6,5.4,.291, , , ,1.6,5.4,.291,.291,1.3,1.8,.690, , , ,1.3, , , ,1.4,4.4
John Chaney,F-C,29,TRI,6, , ,1.7,6.2,.270, , , ,1.7,6.2,.270,.270,1.3,2.0,.667, , , ,2.5, , , ,2.2,4.7
John Chaney,F-C,29,SHE,10, , ,1.5,4.9,.306, , , ,1.5,4.9,.306,.306,1.2,1.7,.706, , , ,0.5, , , ,1.0,4.2
Leroy Chollet,F,24,SYR,49, , ,1.2,3.7,.341, , , ,1.2,3.7,.341,.341,0.7,1.1,.625, , , ,0.8, , , ,1.1,3.2
Bill Closs,SF,28,AND,64, , ,4.4,14.0,.315, , , ,4.4,14.0,.315,.315,2.9,4.0,.718, , , ,2.5, , , ,3.0,11.8
Paul Cloyd,G-F,29,TOT,7, , ,1.0,3.7,.269, , , ,1.0,3.7,.269,.269,0.7,1.1,.625, , , ,0.3, , , ,0.7,2.7
Paul Cloyd,G-F,29,BLB,3, , ,0.3,2.7,.125, , , ,0.3,2.7,.125,.125,1.0,1.0,1.000, , , ,0.3, , , ,1.3,1.7
Paul Cloyd,G-F,29,WAT,4, , ,1.5,4.5,.333, , , ,1.5,4.5,.333,.333,0.5,1.3,.400, , , ,0.3, , , ,0.3,3.5
Jack Coleman,PF,25,ROC,68, , ,3.7,9.8,.377, , , ,3.7,9.8,.377,.377,1.3,1.8,.744, , , ,2.3, , , ,3.3,8.7
Bobby Cook,G-F,26,SHE,51, , ,4.4,12.2,.358, , , ,4.4,12.2,.358,.358,2.8,3.5,.790, , , ,3.1, , , ,2.2,11.5
Ray Corley,G,22,SYR,60, , ,2.0,6.2,.316, , , ,2.0,6.2,.316,.316,1.3,2.0,.615, , , ,1.8, , , ,1.4,5.2
Jack Cotton,F-C,25,DNN,54, , ,1.8,6.1,.292, , , ,1.8,6.1,.292,.292,1.5,3.0,.509, , , ,1.2, , , ,3.4,5.1
Dillard Crocker,PF,25,DNN,53, , ,4.6,15.8,.292, , , ,4.6,15.8,.292,.292,4.4,6.0,.735, , , ,1.6, , , ,4.2,13.6
Chink Crossin,G,26,PHW,64, , ,2.9,9.0,.322, , , ,2.9,9.0,.322,.322,1.2,1.6,.782, , , ,2.3, , , ,2.2,7.0
Fran Curran,G,27,ROC,66, , ,1.5,3.6,.417, , , ,1.5,3.6,.417,.417,3.0,3.7,.826, , , ,1.1, , , ,1.7,6.0
Jimmy Darden,G,27,DNN,26, , ,3.0,9.3,.321, , , ,3.0,9.3,.321,.321,2.1,3.1,.688, , , ,2.6, , , ,2.6,8.1
Bob Davies*,PG,30,ROC,64, , ,5.0,13.9,.357, , , ,5.0,13.9,.357,.357,4.1,5.4,.752, , , ,4.6, , , ,2.9,14.0
Hook Dillon,F,26,WSC,22, , ,0.5,2.5,.182, , , ,0.5,2.5,.182,.182,0.7,1.0,.727, , , ,0.2, , , ,0.9,1.6
Earl Dodd,F,25,DNN,9, , ,0.7,3.0,.222, , , ,0.7,3.0,.222,.222,0.3,0.6,.600, , , ,0.7, , , ,1.4,1.7
Joe Dolhon,G,22,BLB,64, , ,2.2,7.2,.312, , , ,2.2,7.2,.312,.312,2.5,3.3,.734, , , ,2.4, , , ,3.0,6.9
Bob Doll,F-C,30,BOS,47, , ,2.6,7.4,.346, , , ,2.6,7.4,.346,.346,1.6,2.4,.658, , , ,2.3, , , ,2.5,6.7
Harry Donovan,G,23,NYK,45, , ,2.0,6.1,.327, , , ,2.0,6.1,.327,.327,1.6,2.4,.689, , , ,0.8, , , ,2.4,5.6
Andy Duncan,F-C,27,ROC,67, , ,1.9,4.3,.433, , , ,1.9,4.3,.433,.433,0.9,1.6,.556, , , ,0.6, , , ,2.4,4.6
Dike Eddleman,SF,27,TRI,64, , ,5.2,14.2,.366, , , ,5.2,14.2,.366,.366,2.5,4.1,.623, , , ,2.2, , , ,4.0,12.9
Gene Englund,F-C,32,TOT,46, , ,2.3,6.0,.380, , , ,2.3,6.0,.380,.380,3.3,4.2,.792, , , ,0.9, , , ,3.6,7.8
Gene Englund,F-C,32,BOS,24, , ,2.3,6.2,.372, , , ,2.3,6.2,.372,.372,3.6,4.4,.811, , , ,0.7, , , ,4.0,8.2
Gene Englund,F-C,32,TRI,22, , ,2.2,5.7,.389, , , ,2.2,5.7,.389,.389,3.0,3.9,.767, , , ,1.1, , , ,3.2,7.5
Bob Evans,G,24,INO,47, , ,1.2,4.3,.280, , , ,1.2,4.3,.280,.280,0.6,0.9,.682, , , ,1.2, , , ,2.1,3.0
Johnny Ezersky,F-G,27,TOT,54, , ,2.6,9.0,.294, , , ,2.6,9.0,.294,.294,2.4,3.4,.694, , , ,1.6, , , ,2.6,7.6
Johnny Ezersky,F-G,27,BLB,38, , ,2.8,9.2,.305, , , ,2.8,9.2,.305,.305,2.4,3.5,.697, , , ,1.7, , , ,2.6,8.1
Johnny Ezersky,F-G,27,BOS,16, , ,2.3,8.5,.265, , , ,2.3,8.5,.265,.265,2.2,3.2,.686, , , ,1.4, , , ,2.4,6.7
Bob Feerick,F-G,30,WSC,60, , ,2.9,8.3,.344, , , ,2.9,8.3,.344,.344,2.3,2.9,.799, , , ,2.1, , , ,2.3,8.1
George Feigenbaum,G,20,BLB,12, , ,1.2,4.8,.246, , , ,1.2,4.8,.246,.246,0.7,1.5,.444, , , ,0.8, , , ,1.3,3.0
Arnie Ferrin,F-G,24,MNL,63, , ,2.1,6.3,.333, , , ,2.1,6.3,.333,.333,1.2,1.7,.697, , , ,1.5, , , ,2.3,5.4
Jerry Fleishman,SG,27,PHW,65, , ,1.6,5.4,.289, , , ,1.6,5.4,.289,.289,1.4,2.3,.616, , , ,1.8, , , ,2.0,4.6
Joe Fulks*,PF,28,PHW,68, , ,4.9,17.8,.278, , , ,4.9,17.8,.278,.278,4.3,6.2,.696, , , ,0.8, , , ,3.5,14.2
Bill Gabor,SG,27,SYR,56, , ,4.0,12.0,.337, , , ,4.0,12.0,.337,.337,2.8,4.1,.689, , , ,1.9, , , ,3.5,10.9
Elmer Gainer,F-C,31,WAT,15, , ,0.6,2.3,.257, , , ,0.6,2.3,.257,.257,0.4,0.5,.750, , , ,0.5, , , ,1.9,1.6
Harry Gallatin*,F-C,22,NYK,68, , ,3.9,9.8,.396, , , ,3.9,9.8,.396,.396,4.1,5.4,.757, , , ,0.8, , , ,3.2,11.8
Vern Gardner,SG,24,PHW,63, , ,5.0,14.5,.342, , , ,5.0,14.5,.342,.342,3.6,4.7,.767, , , ,1.9, , , ,3.7,13.5
Frank Gates,G,29,AND,64, , ,1.8,6.3,.281, , , ,1.8,6.3,.281,.281,1.0,1.5,.622, , , ,1.4, , , ,2.3,4.5
Dee Gibson,F-G,26,TRI,44, , ,1.8,5.6,.314, , , ,1.8,5.6,.314,.314,2.9,4.0,.718, , , ,2.9, , , ,2.6,6.4
Hoot Gibson,F-C,28,TOT,32, , ,2.1,6.1,.344, , , ,2.1,6.1,.344,.344,1.3,2.0,.656, , , ,1.2, , , ,3.3,5.5
Hoot Gibson,F-C,28,BOS,2, , ,1.5,2.0,.750, , , ,1.5,2.0,.750,.750,0.5,2.0,.250, , , ,0.5, , , ,1.5,3.5
Hoot Gibson,F-C,28,WAT,30, , ,2.1,6.4,.335, , , ,2.1,6.4,.335,.335,1.4,2.0,.683, , , ,1.2, , , ,3.4,5.6
Chuck Gilmur,F-C,27,WSC,68, , ,1.9,5.6,.335, , , ,1.9,5.6,.335,.335,2.4,3.5,.680, , , ,1.6, , , ,4.0,6.1
Normie Glick,F,22,MNL,1, , ,1.0,1.0,1.000, , , ,1.0,1.0,1.000,1.000,0.0,0.0, , , , ,0.0, , , ,1.0,2.0
Paul Gordon,F,22,BLB,4, , ,0.0,1.5,.000, , , ,0.0,1.5,.000,.000,0.8,1.3,.600, , , ,0.8, , , ,0.8,0.8
Joe Graboski,F-C,20,CHS,57, , ,1.3,4.3,.304, , , ,1.3,4.3,.304,.304,0.9,1.6,.596, , , ,0.6, , , ,1.7,3.6
Bud Grant,F,22,MNL,35, , ,1.2,3.3,.365, , , ,1.2,3.3,.365,.365,0.2,0.5,.412, , , ,0.5, , , ,1.0,2.6
Don Grate,F-G,26,SHE,2, , ,0.5,3.0,.167, , , ,0.5,3.0,.167,.167,1.0,1.0,1.000, , , ,1.5, , , ,1.5,2.0
Alex Groza,C,23,INO,64, , ,8.1,17.0,.478, , , ,8.1,17.0,.478,.478,7.1,9.7,.729, , , ,2.5, , , ,3.5,23.4
Al Guokas,F-G,24,TOT,57, , ,1.6,5.2,.311, , , ,1.6,5.2,.311,.311,0.5,0.9,.560, , , ,1.7, , , ,2.5,3.8
Al Guokas,F-G,24,DNN,41, , ,2.1,6.6,.317, , , ,2.1,6.6,.317,.317,0.6,1.1,.532, , , ,2.1, , , ,2.8,4.8
Al Guokas,F-G,24,PHW,16, , ,0.4,1.8,.250, , , ,0.4,1.8,.250,.250,0.2,0.2,1.000, , , ,0.6, , , ,1.7,1.1
Robert Hahn,C,24,CHS,10, , ,0.4,1.3,.308, , , ,0.4,1.3,.308,.308,0.2,0.7,.286, , , ,0.1, , , ,1.7,1.0
Chick Halbert,C,30,WSC,68, , ,1.6,4.2,.380, , , ,1.6,4.2,.380,.380,1.6,2.6,.640, , , ,1.3, , , ,2.0,4.8
Bruce Hale,G-F,31,INO,64, , ,3.4,9.6,.353, , , ,3.4,9.6,.353,.353,3.5,4.5,.782, , , ,3.5, , , ,2.2,10.3
Dale Hamilton,G-F,30,WAT,14, , ,0.6,2.4,.242, , , ,0.6,2.4,.242,.242,0.6,1.4,.474, , , ,1.2, , , ,2.1,1.8
Alex Hannum*,PF,26,SYR,64, , ,2.8,7.6,.363, , , ,2.8,7.6,.363,.363,2.0,2.9,.688, , , ,2.0, , , ,4.1,7.5
John Hargis,G-F,29,AND,60, , ,3.7,9.2,.405, , , ,3.7,9.2,.405,.405,3.3,4.6,.711, , , ,1.7, , , ,2.8,10.7
Bob Harris,F-C,22,FTW,62, , ,2.7,7.5,.361, , , ,2.7,7.5,.361,.361,2.3,3.6,.628, , , ,2.1, , , ,3.1,7.7
Bob Harrison,G,22,MNL,66, , ,1.9,5.3,.359, , , ,1.9,5.3,.359,.359,0.8,1.1,.676, , , ,2.0, , , ,2.7,4.5
Billy Hassett,G,28,TOT,60, , ,1.4,5.0,.278, , , ,1.4,5.0,.278,.278,1.7,2.7,.646, , , ,2.3, , , ,2.3,4.5
Billy Hassett,G,28,TRI,18, , ,2.6,8.7,.293, , , ,2.6,8.7,.293,.293,3.8,5.2,.734, , , ,3.8, , , ,3.0,8.9
Billy Hassett,G,28,MNL,42, , ,0.9,3.5,.262, , , ,0.9,3.5,.262,.262,0.8,1.6,.522, , , ,1.6, , , ,2.0,2.6
Marshall Hawkins,F,25,INO,39, , ,1.4,5.0,.282, , , ,1.4,5.0,.282,.282,1.1,1.6,.689, , , ,1.3, , , ,2.2,3.9
Bill Henry,C,25,TOT,63, , ,1.4,4.4,.320, , , ,1.4,4.4,.320,.320,1.9,2.8,.670, , , ,0.8, , , ,1.9,4.7
Bill Henry,C,25,FTW,44, , ,1.5,4.8,.311, , , ,1.5,4.8,.311,.311,1.9,2.8,.672, , , ,0.9, , , ,2.3,4.9
Bill Henry,C,25,TRI,19, , ,1.3,3.6,.348, , , ,1.3,3.6,.348,.348,1.8,2.7,.667, , , ,0.5, , , ,1.2,4.3
Bill Herman,G,25,DNN,13, , ,1.9,5.0,.385, , , ,1.9,5.0,.385,.385,0.5,0.8,.545, , , ,1.2, , , ,1.0,4.3
Kleggie Hermsen,C-F,26,CHS,67, , ,2.9,9.2,.319, , , ,2.9,9.2,.319,.319,2.3,3.7,.619, , , ,1.5, , , ,4.0,8.1
Sonny Hertzberg,G,27,BOS,68, , ,4.0,12.7,.318, , , ,4.0,12.7,.318,.318,2.1,2.8,.749, , , ,2.9, , , ,2.3,10.2
Paul Hoffman,G-F,24,BLB,60, , ,5.2,15.2,.341, , , ,5.2,15.2,.341,.341,4.0,6.1,.665, , , ,2.7, , , ,3.9,14.4
Joe Holland,SF,24,INO,64, , ,2.3,7.1,.320, , , ,2.3,7.1,.320,.320,1.5,2.2,.690, , , ,2.0, , , ,3.4,6.1
Red Holzman*,PG,29,ROC,68, , ,3.0,9.2,.330, , , ,3.0,9.2,.330,.330,2.1,3.1,.686, , , ,2.9, , , ,1.0,8.2
Gene James,F,24,NYK,29, , ,0.7,2.2,.297, , , ,0.7,2.2,.297,.297,0.5,1.1,.452, , , ,0.7, , , ,1.8,1.8
Howie Janotta,F,25,BLB,9, , ,1.0,3.3,.300, , , ,1.0,3.3,.300,.300,1.4,1.8,.813, , , ,0.4, , , ,1.1,3.4
Tony Jaros,F-G,29,MNL,61, , ,1.4,4.7,.291, , , ,1.4,4.7,.291,.291,1.2,1.6,.750, , , ,1.0, , , ,1.7,3.9
Buddy Jeannette*,G,32,BLB,37, , ,1.1,4.0,.284, , , ,1.1,4.0,.284,.284,2.9,3.6,.820, , , ,2.5, , , ,2.2,5.2
Arnie Johnson,SF,29,ROC,68, , ,2.2,5.5,.396, , , ,2.2,5.5,.396,.396,2.9,4.3,.680, , , ,2.1, , , ,3.8,7.3
Ralph Johnson,PG,28,TOT,67, , ,3.6,11.6,.312, , , ,3.6,11.6,.312,.312,1.6,1.9,.806, , , ,2.6, , , ,3.1,8.8
Ralph Johnson,PG,28,AND,35, , ,3.8,12.2,.312, , , ,3.8,12.2,.312,.312,2.0,2.4,.855, , , ,3.0, , , ,3.2,9.6
Ralph Johnson,PG,28,FTW,32, , ,3.4,11.0,.312, , , ,3.4,11.0,.312,.312,1.0,1.4,.717, , , ,2.1, , , ,3.0,7.9
Wah Wah Jones,PF,23,INO,60, , ,4.4,11.8,.374, , , ,4.4,11.8,.374,.374,3.7,5.0,.751, , , ,3.2, , , ,4.0,12.5
Noble Jorgensen,C,24,SHE,54, , ,4.0,11.4,.353, , , ,4.0,11.4,.353,.353,5.0,6.5,.766, , , ,1.7, , , ,3.7,13.0
George Kaftan,SF,21,BOS,55, , ,3.6,9.7,.372, , , ,3.6,9.7,.372,.372,2.5,3.8,.654, , , ,2.6, , , ,1.7,9.7
Leo Katkaveck,G,26,WSC,54, , ,1.9,6.1,.306, , , ,1.9,6.1,.306,.306,0.6,1.0,.607, , , ,1.3, , , ,1.9,4.4
Jack Kerris,PF,25,TOT,68, , ,2.3,7.1,.326, , , ,2.3,7.1,.326,.326,2.5,3.8,.650, , , ,1.7, , , ,2.6,7.1
Jack Kerris,PF,25,TRI,4, , ,2.0,6.5,.308, , , ,2.0,6.5,.308,.308,2.5,3.0,.833, , , ,2.0, , , ,3.3,6.5
Jack Kerris,PF,25,FTW,64, , ,2.3,7.1,.327, , , ,2.3,7.1,.327,.327,2.5,3.9,.641, , , ,1.7, , , ,2.5,7.1
Bob Kinney,C-F,29,BOS,60, , ,3.9,10.4,.375, , , ,3.9,10.4,.375,.375,3.4,5.3,.628, , , ,1.7, , , ,4.2,11.1
Walt Kirk,PG,25,TOT,58, , ,1.7,6.2,.269, , , ,1.7,6.2,.269,.269,2.7,3.7,.718, , , ,1.8, , , ,2.7,6.0
Walt Kirk,PG,25,AND,26, , ,1.2,4.8,.248, , , ,1.2,4.8,.248,.248,2.2,3.2,.687, , , ,1.7, , , ,2.4,4.6
Walt Kirk,PG,25,TRI,32, , ,2.1,7.4,.280, , , ,2.1,7.4,.280,.280,3.1,4.2,.737, , , ,1.9, , , ,2.9,7.2
Leo Klier,F-G,26,FTW,66, , ,2.4,7.8,.304, , , ,2.4,7.8,.304,.304,2.1,2.9,.742, , , ,1.8, , , ,2.7,6.9
Duane Klueh,G,24,TOT,52, , ,3.1,8.0,.384, , , ,3.1,8.0,.384,.384,3.0,4.3,.707, , , ,1.8, , , ,2.1,9.1
Duane Klueh,G,24,DNN,33, , ,3.3,9.2,.364, , , ,3.3,9.2,.364,.364,3.4,4.6,.725, , , ,1.9, , , ,2.2,10.0
Duane Klueh,G,24,FTW,19, , ,2.6,5.9,.438, , , ,2.6,5.9,.438,.438,2.4,3.6,.667, , , ,1.5, , , ,2.0,7.6
Lee Knorek,C,28,BLB,1, , ,0.0,2.0,.000, , , ,0.0,2.0,.000,.000,0.0,0.0, , , , ,0.0, , , ,4.0,0.0
Milo Komenich,F-C,29,AND,64, , ,3.8,13.5,.283, , , ,3.8,13.5,.283,.283,2.3,3.9,.584, , , ,1.9, , , ,3.8,9.9
Leo Kubiak,G,22,WAT,62, , ,4.2,12.8,.326, , , ,4.2,12.8,.326,.326,3.1,3.8,.814, , , ,3.2, , , ,4.0,11.5
Frank Kudelka,G-F,24,CHS,65, , ,2.6,8.1,.326, , , ,2.6,8.1,.326,.326,1.4,2.2,.636, , , ,2.0, , , ,3.0,6.7
Walt Lautenbach,G-F,27,SHE,55, , ,1.8,6.0,.301, , , ,1.8,6.0,.301,.301,0.7,1.0,.691, , , ,1.3, , , ,2.2,4.3
Tony Lavelli,F,23,BOS,56, , ,2.9,7.8,.372, , , ,2.9,7.8,.372,.372,3.0,3.5,.853, , , ,0.7, , , ,1.9,8.8
Ed Leede,F-G,22,BOS,64, , ,2.7,7.9,.343, , , ,2.7,7.9,.343,.343,3.5,4.9,.706, , , ,2.0, , , ,2.6,8.9
Andrew Levane,F-G,29,SYR,60, , ,2.3,7.0,.333, , , ,2.3,7.0,.333,.333,0.9,1.4,.635, , , ,2.6, , , ,1.8,5.5
Freddie Lewis,F-G,29,TOT,34, , ,1.4,5.4,.250, , , ,1.4,5.4,.250,.250,0.7,0.9,.781, , , ,0.7, , , ,1.2,3.4
Freddie Lewis,F-G,29,BLB,18, , ,1.4,6.1,.227, , , ,1.4,6.1,.227,.227,0.7,1.1,.684, , , ,1.0, , , ,1.3,3.5
